MethodDuration,SearchTime,MeanTime,ConfidenceInterval_i,ConfidenceInterval_f
0,0.000996,9.96e-006,1,1
0,0.001009,1.009e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001,1e-005,1,1
0,0.001006,1.006e-005,1,1
0,0.00098,9.8e-006,1,1
0,0.000996,9.96e-006,1,1
0,0.001008,1.008e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.000998,9.98e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.001001,1.001e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.000998,9.98e-006,1,1
0,0.000998,9.98e-006,1,1
0,0,0,1,1
0,0,0,1,1
0,0.000998,9.98e-006,1,1
0,0,0,1,1
0,0.002012,2.012e-005,1,1
0,0.001997,1.997e-005,1,1
0,0.000999,9.99e-006,1,1
0,0,0,1,1
0.001,0.001,1e-005,1,1
0,0.005007,5.007e-005,1,1
0,0.001995,1.995e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.001,1e-005,1,1
0,0.001003,1.003e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.000997,9.97e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.002011,2.011e-005,1,1
0,0.000993,9.93e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.001001,1.001e-005,1,1
0,0.001002,1.002e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.000993,9.93e-006,1,1
0,0.000996,9.96e-006,1,1
0,0.002005,2.005e-005,1,1
0,0.000998,9.98e-006,1,1
0.000999,0.001006,1.006e-005,1,1
0,0.002014,2.014e-005,1,1
0,0.00198,1.98e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001,1e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.002016,2.016e-005,1,1
0,0.000998,9.98e-006,1,1
0,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.000996,9.96e-006,1,1
0,0.001008,1.008e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.000995,9.95e-006,1,1
0,0.000999,9.99e-006,1,1
0,0,0,1,1
0,0.000999,9.99e-006,1,1
0,0,0,1,1
0,0.003009,3.009e-005,1,1
0,0.002002,2.002e-005,1,1
0,0.000991,9.91e-006,1,1
0,0.001005,1.005e-005,1,1
0,0.001002,1.002e-005,1,1
0,0,0,1,1
0,0.002,2e-005,1,1
0,0.001995,1.995e-005,1,1
0,0.002003,2.003e-005,1,1
0,0.000995,9.95e-006,1,1
0,0.001,1e-005,1,1
0,0.001002,1.002e-005,1,1
0,0.001005,1.005e-005,1,1
0,0.000995,9.95e-006,1,1
0,0.001002,1.002e-005,1,1
0,0.002,2e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.003006,3.006e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.001007,1.007e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001001,1.001e-005,1,1
0,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0,0.004008,4.008e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001001,1.001e-005,1,1
0,0,0,1,1
0,0.001002,1.002e-005,1,1
0.001001,0,0,1,1
0,0.003008,3.008e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.001005,1.005e-005,1,1
0,0.001,1e-005,1,1
0,0.001006,1.006e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.000993,9.93e-006,1,1
