MethodDuration,SearchTime,MeanTime,ConfidenceInterval_i,ConfidenceInterval_f
0.001,0.000998,9.98e-006,1,1
0,0.000992,9.92e-006,1,1
0.001,0.001001,1.001e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.002022,2.022e-005,1,1
0.001,0,0,1,1
0,0.001,1e-005,1,1
0,0.000996,9.96e-006,1,1
0.000998,0.001002,1.002e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.000996,9.96e-006,1,1
0,0.001001,1.001e-005,1,1
0.001001,0,0,1,1
0.000998,0,0,1,1
0,0.001,1e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.001002,1.002e-005,1,1
0,0.001992,1.992e-005,1,1
0,0.000998,9.98e-006,1,1
0.001001,0.000999,9.99e-006,1,1
0,0.001,1e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.000998,9.98e-006,1,1
0,0.000999,9.99e-006,1,1
0.001001,0.000999,9.99e-006,1,1
0.001001,0.000999,9.99e-006,1,1
0,0.00301,3.01e-005,1,1
0,0.001984,1.984e-005,1,1
0,0.000998,9.98e-006,1,1
0,0.001001,1.001e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.002,2e-005,1,1
0,0.001001,1.001e-005,1,1
0.000999,0.000998,9.98e-006,1,1
0,0.001001,1.001e-005,1,1
0,0.001,1e-005,1,1
0.001,0.003031,3.031e-005,1,1
0.000997,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.001,1e-005,1,1
0,0.000995,9.95e-006,1,1
0.001002,0.002003,2.003e-005,1,1
0,0.001001,1.001e-005,1,1
0.001001,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001988,1.988e-005,1,1
0,0.002,2e-005,1,1
0,0,0,1,1
0,0.000993,9.93e-006,1,1
0,0.001005,1.005e-005,1,1
0,0.001001,1.001e-005,1,1
0.001002,0.000996,9.96e-006,1,1
0,0.001003,1.003e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.001002,1.002e-005,1,1
0,0.001001,1.001e-005,1,1
0.001,0,0,1,1
0,0.001002,1.002e-005,1,1
0,0.000997,9.97e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.000998,9.98e-006,1,1
0,0.000997,9.97e-006,1,1
0,0.005,5e-005,1,1
0,0,0,1,1
0,0.002002,2.002e-005,1,1
0.001,0.000999,9.99e-006,1,1
0.005017,0.000985,9.85e-006,1,1
0,0.000997,9.97e-006,1,1
0,0.000998,9.98e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.000999,9.99e-006,1,1
0,0.001994,1.994e-005,1,1
0,0.001,1e-005,1,1
0,0.001003,1.003e-005,1,1
0,0.001004,1.004e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.000995,9.95e-006,1,1
0,0.001,1e-005,1,1
0,0.000993,9.93e-006,1,1
0.001001,0,0,1,1
0,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0.000997,0.001,1e-005,1,1
0,0.000996,9.96e-006,1,1
0,0.001002,1.002e-005,1,1
0.001001,0,0,1,1
0.000997,0,0,1,1
0.000999,0,0,1,1
0,0.000996,9.96e-006,1,1
0,0.001,1e-005,1,1
0.000995,0.001,1e-005,1,1
0,0.001,1e-005,1,1
0.000994,0.000999,9.99e-006,1,1
0,0.001009,1.009e-005,1,1
0.000997,0.000995,9.95e-006,1,1
